Targets,Scenarios,Year,Cumulative(tC/ha),Cumulative total institutional costs (US$/ha),Institutional_ROI,Cumulative total individual costs to farmers/ha,Individual_farmer_ROI,Cumulative total investment costs/ha,Total_ROI
Target 1,Scenario 3,Year 16,17.07,"$192,233 ",0.000089,"$17,163 ",0.000994638,"$209,396",0.00008
Target 1,Scenario 3,Year 17,18.71,"$202,313 ",0.000092,"$18,216 ",0.001026876,"$220,529",0.00008
Target 1,Scenario 3,Year 18,20.44,"$212,393 ",0.000096,"$19,269 ",0.001060562,"$231,662",0.00009
Target 1,Scenario 3,Year 19,22.26,"$222,472 ",0.0001,"$20,323 ",0.001095469,"$242,795",0.00009
Target 1,Scenario 3,Year 20,23.75,"$232,552 ",0.000102,"$21,376 ",0.001110915,"$253,928",0.00009
Target 1,Scenario 3,Year 21,25.31,"$242,632 ",0.000104,"$22,430 ",0.001128207,"$265,062",0.00010
Target 1,Scenario 3,Year 22,26.94,"$252,712 ",0.000107,"$23,483 ",0.001147095,"$276,195",0.00010
Target 1,Scenario 3,Year 23,28.64,"$262,791 ",0.000109,"$24,536 ",0.001167373,"$287,328",0.00010
Target 1,Scenario 3,Year 24,30.42,"$272,871 ",0.000111,"$25,590 ",0.00118887,"$298,461",0.00010
Target 1,Scenario 3,Year 25,32.28,"$282,951 ",0.000114,"$26,643 ",0.00121144,"$309,594",0.00010
Target 1,Scenario 3,Year 26,34.2,"$293,031 ",0.000117,"$27,697 ",0.001234961,"$320,727",0.00011
Target 1,Scenario 3,Year 27,36.21,"$303,110 ",0.000119,"$28,750 ",0.001259327,"$331,860",0.00011
Target 1,Scenario 3,Year 28,38.28,"$313,190 ",0.000122,"$29,804 ",0.001284448,"$342,994",0.00011
Target 1,Scenario 3,Year 29,40.43,"$323,270 ",0.000125,"$30,857 ",0.001310248,"$354,127",0.00011
Target 1,Scenario 3,Year 30,42.16,"$333,349 ",0.000126,"$31,910 ",0.001321234,"$365,260",0.00012
